,LemmaID,Handshape,SignType,Movement,RepeatedMovement,MajorLocation,MinorLocation,MinorLocation2,Contact,NonDomHandshape,pose_landmarks,pose_first10,pose_pseudokey_n7,pose_pseudokey_all,flat_10frames,flat_pseudo_n7,flat_pseudo_all
3,hamburger,c,SymmetricalOrAlternating,Straight,0.0,Neutral,Neutral,Neutral,1.0,c,"[[[ 9.89000000e+02  2.75000000e+02 -7.99396932e-01]
  [ 1.01800000e+03  2.24000000e+02 -7.68973887e-01]
  [ 1.03200000e+03  2.23000000e+02 -7.69171596e-01]
  [ 1.04800000e+03  2.23000000e+02 -7.69426525e-01]
  [ 9.59000000e+02  2.27000000e+02 -7.71509528e-01]
  [ 9.41000000e+02  2.29000000e+02 -7.71681070e-01]
  [ 9.24000000e+02  2.31000000e+02 -7.72049487e-01]
  [ 1.07600000e+03  2.45000000e+02 -5.21628737e-01]
  [ 9.06000000e+02  2.56000000e+02 -5.26067853e-01]
  [ 1.02600000e+03  3.20000000e+02 -7.02089369e-01]
  [ 9.54000000e+02  3.25000000e+02 -7.03366578e-01]
  [ 1.24500000e+03  5.33000000e+02 -3.33738118e-01]
  [ 7.61000000e+02  5.19000000e+02 -3.29347730e-01]
  [ 1.28900000e+03  8.76000000e+02 -2.37579688e-01]
  [ 7.08000000e+02  8.77000000e+02 -2.32732922e-01]
  [ 1.30800000e+03  1.11600000e+03 -4.67699498e-01]
  [ 6.82000000e+02  1.14200000e+03 -4.70310211e-01]
  [ 1.31700000e+03  1.20800000e+03 -5.37501037e-01]
  [ 6.63000000e+02  1.20300000e+03 -5.39092183e-01]
  [ 1.29600000e+03  1.19400000e+03 -5.94491005e-01]
  [ 6.76000000e+02  1.18400000e+03 -6.12954676e-01]
  [ 1.27400000e+03  1.16000000e+03 -4.97837126e-01]
  [ 6.94000000e+02  1.15500000e+03 -5.06282032e-01]
  [ 1.14400000e+03  1.10100000e+03 -2.75764167e-02]
  [ 8.77000000e+02  1.10800000e+03  2.87295915e-02]
  [ 1.14300000e+03  1.60200000e+03  9.08449069e-02]
  [ 8.63000000e+02  1.59400000e+03  1.26534313e-01]
  [ 1.14300000e+03  1.98900000e+03  6.32876575e-01]
  [ 8.64000000e+02  1.99800000e+03  5.68537474e-01]
  [ 1.14700000e+03  2.05400000e+03  6.70262754e-01]
  [ 8.63000000e+02  2.06900000e+03  6.02798283e-01]
  [ 1.11000000e+03  2.13800000e+03  3.72650146e-01]
  [ 8.94000000e+02  2.13900000e+03  2.70405948e-01]]

